Suggested Bundle Title,FullPrice,DiscountRate,FinalPrice,BundleType,OfferLabel
3x Gerry Weber γυναικείο τζιν παντελόνι Slim Fit Μαύρο 48 – Offer Pack,178.17000000000002,0.1,160.35,Volume,-10%
3x Ralph Lauren Romance Eau de Parfum 100ml – Offer Pack,178.875,0.1,160.99,Volume,-10%
3x Guy Laroche μαξιλάρι ύπνου από πούπουλο χήνας  50 x 70 cm – Offer Pack,179.4,0.1,161.46,Volume,-10%
3x Funky Buddha ανδρικό παντελόνι cargo μονόχρωμο Regular Fit Χακί 40 – Offer Pack,179.85000000000002,0.1,161.87,Volume,-10%
3x Estée Lauder Bronze Goddess Lumière Eau de Parfum Spray 50 ml – Offer Pack,181.35000000000002,0.1,163.22,Volume,-10%
"Lacoste γυναικεία δερμάτινα sneakers ""Powercourt"" Λευκό 39 + Lacoste γυναικεία midi φούστα πλισέ με καρό print Λευκό 42",192.155,0.15,163.33,Thematic,-15%
2x Shiseido Benefiance Wrinkle Smoothing Day Emulsion 75 ml – Offer Pack,171.995,0.05,163.4,Volume,-5%
"Converse γυναικεία sneakers ""Chuck Taylor All Star Lift Platform'' Φούξια 37 + Lacoste γυναικεία δερμάτινα sneakers ""Powercourt"" Λευκό 39",195.155,0.15,165.88,Thematic,-15%
"Puma ανδρικό T-shirt μονόχρωμο με λογότυπο Regular Fit ""Essential + Tape"" Μαύρο M + Boggi Milano ανδρικό overshirt με τσέπες Oversized Fit Μπλε Σκούρο L",195.99,0.15,166.59,Thematic,-15%
"Adidas ανδρικό T-shirt Regular Fit ""Essential 3-Strips"" Γκρι M + Boggi Milano ανδρικό overshirt με τσέπες Oversized Fit Μπλε Σκούρο L",197.0,0.15,167.45,Thematic,-15%
Narciso Rodriguez For Her Pure Musc Eau de Parfum 100ml + Narciso Rodriguez For Her Eau de Parfum Spray 50ml,211.33862745098043,0.2,169.07,Rule-Based,-20%
"New Balance ανδρικό T-shirt ""Stacked Logo"" Μαύρο M + Boggi Milano ανδρικό overshirt με τσέπες Oversized Fit Μπλε Σκούρο L",198.95,0.15,169.11,Thematic,-15%
