Bundle Title,SKU A,SKU B,FinalPrice (€),Duration (days),Expected Sales,Forecasted Revenue (€)
Lancôme Rénergie H.C.F. Triple Serum Eye 20 ml + Lancôme Miel en Mousse 200 ml,900278504194,979278502532,75.52,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 08 Natural Rosewood + Kiko Milano Pure Clean Toner 200 ml,9-4896001470,9-4896003805,13.83,0,0,0.0
Clarins Double Serum Eye 20 ml + Clarins Body Fit Active 200ml,1058844,1083978,78.46,7,0,0.0
Kiko Milano 3D Hydra Lipgloss 08 Natural Rosewood + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896001470,9-4896004057,15.33,0,0,0.0
Kiko Milano Eyebrow Expert Palette 01 Blonde + Kiko Milano Pure Clean Toner 200 ml,9-4896002401,9-4896003805,17.41,0,0,0.0
Kiko Milano Eyebrow Expert Palette 01 Blonde + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896002401,9-4896003454,25.3,0,0,0.0
Kiko Milano 3D Hydra Lipgloss 08 Natural Rosewood + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896001470,9-4896003454,21.72,0,0,0.0
Kiko Milano Eyebrow Expert Palette 01 Blonde + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896002401,9-4896004057,18.92,0,0,0.0
Estée Lauder Revitalizing Supreme+ Night Power Bounce Crème 50 ml + Estée Lauder Bronze Goddess Healthy Glow Bronzer Deep,9-2077004263,9-2077003853,107.61,0,0,0.0
Estée Lauder Revitalizing Supreme+ Night Power Bounce Crème 50 ml + Estée Lauder Double Wear Maximum Cover Camouflage Makeup For Face & Body SPF 15 Estée Lauder Double Wear Maximum Cover Camouflage Makeup For Face & Body SPF 15 3C4 Medium/Deep 30 ml,9-2077004263,919207702337,106.37,0,0,0.0
Kiko Milano 3D Hydra Lipgloss - Limited Edition 44 Disruptive Brown + Kiko Milano Pure Clean Toner 200 ml,9-4896004119,9-4896003805,17.28,0,0,0.0
Shiseido UV Protective Compact Foundation SPF30 12 gr Medium Beige + Shiseido Benefiance Eyecare Set,1084783,1083908,102.4,0,0,0.0
Kiko Milano New Unmeasurable Length Mascara 11 ml + Kiko Milano Pure Clean Toner 200 ml,9-4896000227,9-4896003805,7.96,0,0,0.0
Kiko Milano New Unmeasurable Length Mascara 11 ml + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896000227,9-4896003454,15.85,0,0,0.0
Kiko Milano New Unmeasurable Length Mascara 11 ml + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896000227,9-4896004057,9.47,0,0,0.0
